X,Y,tunniste,objektinVoimassaoloaika,haetunDatanVoimassaoloaika,rata,ratanumero,ratakm,pituus,seuraavaKilometrimerkki,icon_url
28.3737627415686,64.5987708406932,1.2.246.586.1.41.1006943487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","694","1000",1.2.246.586.1.41.1006953487026,./0.png
28.7465191851319,64.4259896460768,1.2.246.586.1.41.1006943487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","694","1000",1.2.246.586.1.41.1006953487028,./0.png
30.9238888714401,62.6607053305184,1.2.246.586.1.41.1006943617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","694","1000",1.2.246.586.1.41.1006953617330,./0.png
30.0879715312596,63.0755075383081,1.2.246.586.1.41.1006953158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","695","1000",1.2.246.586.1.41.1006963158070,./0.png
25.0169458209148,64.5775422521512,1.2.246.586.1.41.1006953158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","695","1000",1.2.246.586.1.41.1006963158072,./0.png
24.6919068482907,64.0478792606844,1.2.246.586.1.41.1006953160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","695","999",1.2.246.586.1.41.1006963160119,./0.png
28.3860512889495,64.6060294518504,1.2.246.586.1.41.1006953487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","695","1000",1.2.246.586.1.41.1006963487026,./0.png
28.767247298722,64.4263928855413,1.2.246.586.1.41.1006953487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","695","1000",1.2.246.586.1.41.1006963487028,./0.png
30.9398267438978,62.6658801238806,1.2.246.586.1.41.1006953617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","695","820",1.2.246.586.1.41.1006963617330,./0.png
30.0746864115288,63.0821454409042,1.2.246.586.1.41.1006963158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","696","1000",1.2.246.586.1.41.1006973158070,./0.png
25.0191908756307,64.5864625865132,1.2.246.586.1.41.1006963158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","696","1000",1.2.246.586.1.41.1006973158072,./0.png
24.678354165694,64.0546024561722,1.2.246.586.1.41.1006963160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","696","999",1.2.246.586.1.41.1006973160119,./0.png
28.3966872743747,64.6137043687922,1.2.246.586.1.41.1006963487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","696","1000",1.2.246.586.1.41.1006973487026,./0.png
28.7879902540942,64.4267923571706,1.2.246.586.1.41.1006963487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","696","1000",1.2.246.586.1.41.1006973487028,./0.png
0,0,1.2.246.586.1.41.1006963617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","696",,,./0.png
0,0,1.2.246.586.1.41.10069723725541617054261,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.23725541617054261,TJA 025,"697","1001",1.2.246.586.1.41.10069823725541617054261,./0.png
30.0638225967107,63.0896303815433,1.2.246.586.1.41.1006973158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","697","1000",1.2.246.586.1.41.1006983158070,./0.png
25.0214378283651,64.5953839416213,1.2.246.586.1.41.1006973158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","697","1001",1.2.246.586.1.41.1006983158072,./0.png
